
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[11]		220.0	-43.2	0.2660	0.306		4.7762	0.0737	0.0000		20.000
React-ive[12]		220.0	-43.2	0.2660	0.328		4.2986	0.0801	0.0000		20.000
React-ive[13]		220.0	-43.2	0.2660	0.355		3.8210	0.0865	0.0000		20.000
React-ive[14]		220.0	-43.2	0.2660	0.386		3.3433	0.0929	0.0000		20.000
React-ive[15]		220.0	-43.2	0.2660	0.423		2.8657	0.0993	0.0000		20.000
React-ive[16]		220.0	-43.2	0.2660	0.468		2.3881	0.1057	0.0000		20.000
React-ive[17]		220.0	-43.2	0.2660	0.523		1.9104	0.1122	0.0000		20.000
React-ive[18]		220.0	-43.2	0.2660	0.594		1.4328	0.1186	0.0000		20.000
React-ive[19]		220.0	-43.2	0.2660	0.687		0.9552	0.1250	0.0000		20.000
React-ive[20]		220.0	-43.2	0.2660	0.813		0.4776	0.1314	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.1314			19.998
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-09 14:00:53 - Function time
Elapsed time: 0:00:30
Total time:   0:02:29
============================================================================================================

> Working on Reflux, PR ratio = 0.50
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-291.				5.1065	0.2679	0.2679		4.1758

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-21.6	0.2635	0.179		9.8182	0.0378	0.0000		20.000
React-ive[2]		220.0	-42.6	0.2658	0.188		9.0992	0.0292	0.0000		20.000
React-ive[3]		220.0	-43.0	0.2659	0.196		8.6062	0.0318	0.0000		20.000
React-ive[4]		220.0	-43.2	0.2660	0.206		8.1246	0.0366	0.0000		20.000
React-ive[5]		220.0	-43.2	0.2660	0.216		7.6452	0.0421	0.0000		20.000
React-ive[6]		220.0	-43.2	0.2660	0.227		7.1666	0.0479	0.0000		20.000
React-ive[7]		220.0	-43.2	0.2660	0.239		6.6884	0.0539	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.253		6.2104	0.0601	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.268		5.7325	0.0663	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.286		5.2546	0.0725	0.0000		20.000
React-ive[11]		220.0	-43.2	0.2660	0.306		4.7768	0.0788	0.0000		20.000
React-ive[12]		220.0	-43.2	0.2660	0.328		4.2991	0.0851	0.0000		20.000
React-ive[13]		220.0	-43.2	0.2660	0.355		3.8214	0.0915	0.0000		20.000
React-ive[14]		220.0	-43.2	0.2660	0.386		3.3436	0.0978	0.0000		20.000
React-ive[15]		220.0	-43.2	0.2660	0.423		2.8659	0.1042	0.0000		20.000
React-ive[16]		220.0	-43.2	0.2660	0.468		2.3883	0.1105	0.0000		20.000
React-ive[17]		220.0	-43.2	0.2660	0.523		1.9106	0.1169	0.0000		20.000
React-ive[18]		220.0	-43.2	0.2660	0.594		1.4329	0.1233	0.0000		20.000
React-ive[19]		220.0	-43.2	0.2660	0.687		0.9553	0.1297	0.0000		20.000
React-ive[20]		220.0	-43.2	0.2660	0.813		0.4776	0.1361	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.1361			19.998
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-09 14:01:18 - Function time
Elapsed time: 0:00:25
Total time:   0:02:54
============================================================================================================

> Working on Reflux, PR ratio = 0.33
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-310.				5.1179	0.5160	0.2580		4.1718

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	-3.89	0.2614	0.177		10.063	0.1057	0.0000		20.000
React-ive[2]		220.0	-41.5	0.2653	0.187		9.1605	0.0663	0.0000		20.000
React-ive[3]		220.0	-42.6	0.2657	0.196		8.6357	0.0578	0.0000		20.000
React-ive[4]		220.0	-42.9	0.2658	0.205		8.1427	0.0569	0.0000		20.000
React-ive[5]		220.0	-43.0	0.2659	0.216		7.6574	0.0591	0.0000		20.000
React-ive[6]		220.0	-43.1	0.2659	0.227		7.1754	0.0629	0.0000		20.000
React-ive[7]		220.0	-43.1	0.2659	0.239		6.6949	0.0675	0.0000		20.000
React-ive[8]		220.0	-43.2	0.2660	0.253		6.2154	0.0726	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.268		5.7364	0.0780	0.0000		20.000
React-ive[10]		220.0	-43.2	0.2660	0.286		5.2578	0.0837	0.0000		20.000
React-ive[11]		220.0	-43.2	0.2660	0.305		4.7793	0.0895	0.0000		20.000
React-ive[12]		220.0	-43.2	0.2660	0.328		4.3011	0.0955	0.0000		20.000
React-ive[13]		220.0	-43.2	0.2660	0.355		3.8230	0.1015	0.0000		20.000
React-ive[14]		220.0	-43.2	0.2660	0.386		3.3449	0.1076	0.0000		20.000
React-ive[15]		220.0	-43.2	0.2660	0.423		2.8670	0.1138	0.0000		20.000
React-ive[16]		220.0	-43.2	0.2660	0.468		2.3890	0.1199	0.0000		20.000
React-ive[17]		220.0	-43.2	0.2660	0.523		1.9112	0.1262	0.0000		20.000
React-ive[18]		220.0	-43.2	0.2660	0.594		1.4333	0.1324	0.0000		20.000
React-ive[19]		220.0	-43.2	0.2660	0.686		0.9555	0.1387	0.0000		20.000
React-ive[20]		220.0	-43.2	0.2660	0.813		0.4777	0.1449	0.0000		20.000

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.1449			19.998
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-09 14:01:40 - Function time
Elapsed time: 0:00:22
Total time:   0:03:16
============================================================================================================

> Working on Reflux, PR ratio = 0.20
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-341.				5.1429	0.9604	0.2401		4.1627

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[1]		220.0	24.64	0.2581	0.174		10.506	0.2839	0.0000		20.000
React-ive[2]		220.0	-39.6	0.2641	0.186		9.3303	0.1789	0.0000		20.000
React-ive[3]		220.0	-41.5	0.2651	0.195		8.7377	0.1420	0.0000		20.000
React-ive[4]		220.0	-42.1	0.2654	0.205		8.2150	0.1230	0.0000		20.000
React-ive[5]		220.0	-42.5	0.2656	0.215		7.7108	0.1123	0.0000		20.000
React-ive[6]		220.0	-42.7	0.2657	0.226		7.2152	0.1067	0.0000		20.000
