
> First Solve, disconnected reactive stages
------------------------------------------------------------------------------------------------------------
stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
React-ive[8]		220.0	-43.2	0.2660	0.687		0.9566	0.0336	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2660	0.814		0.4781	0.0396	0.0000		20.000
NON-react[10]		219.9	0.000	0.0000	0.000		0.0000	0.0396	0.0000		19.998

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.0396			19.995
------------------------------------------------------------------------------------------------------------
============================================================================================================
2018-07-06 15:22:42 - Elapsed time from last log
Elapsed time: 0:01:00
============================================================================================================

> Working on Reflux, PR ratio = 0.33
------------------------------------------------------------------------------------------------------------
Here comes the result:
------------------------------------------------------------------------------------------------------------
stages			T	Q				V_out	L_out	L_Prod		W
Condenser		30.00	-68.6				1.2839	0.1083	0.0541		1.0404

stages			T	Q	r_FT	Conversion	V_out	L_out	L_Prod		P_VLE
NON-react[1]		177.6	0.000	0.0000	0.000		2.4870	0.1018	0.0000		20.000
NON-react[2]		204.4	0.000	0.0000	0.000		2.4805	0.0883	0.0000		20.000
NON-react[3]		213.8	0.000	0.0000	0.000		2.4670	0.0738	0.0000		20.000
React-ive[4]		220.0	-41.6	0.2648	0.465		2.4524	0.0527	0.0000		20.000
NON-react[5]		216.8	0.000	0.0000	0.000		1.9451	0.0427	0.0000		20.000
React-ive[6]		220.0	-42.6	0.2655	0.522		1.9351	0.0368	0.0000		20.000
React-ive[7]		220.0	-43.0	0.2657	0.594		1.4442	0.0374	0.0000		20.000
React-ive[8]		220.0	-43.1	0.2658	0.687		0.9603	0.0409	0.0000		20.000
React-ive[9]		220.0	-43.2	0.2659	0.814		0.4794	0.0456	0.0000		20.000
NON-react[10]		219.9	0.000	0.0000	0.000		0.0000	0.0456	0.0000		19.998

stages			T	Q				V_out	L_out			P_VLE
Reboiler		220.0	0.000				0.0000	0.0456			19.995
------------------------------------------------------------------------------------------------------------
============================================================================================================
